clk                 , bits                , num                 
clk_arst()          , 8                   , 32                  
clk_arst()          , 8                   , 16                  
clk_arst()          , 8                   , 8                   
clk_arst()          , 8                   , 4                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 4                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 8                   
clk_arst()          , 8                   , 4                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 4                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 16                  
clk_arst()          , 8                   , 8                   
clk_arst()          , 8                   , 4                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 4                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 8                   
clk_arst()          , 8                   , 4                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 4                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
clk_arst()          , 8                   , 2                   
